,Internal ID,ID,Name,Duplicate,Category,Company Name,Is Individual,Sales Rep,Status,Territory,Lead Source,Partner,Start Date,End Date,Reminder Days,Date Created,Last Modified,Primary Contact,Phone,Email,Fax,Alt. Contact,Office Phone,Comments,Billing Address 1,Billing Address 2,Billing City,Billing State/Province,Billing Zip,Billing Country,Shipping Address,Billing Address,Account,Login Access,Terms,Price Level,Taxable,Tax Item,Resale Number,Balance,Unbilled Orders,Credit Limit,Overdue Balance,Days Overdue,On Credit Hold,Override Credit Hold Off,First Name,Last Name,Date of First Sale,Prospect Date,Reminder Days,County,Shipping Item
148,572,64,Resurgens Rehabilitation,,Clinic,Resurgens Rehabilitation,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/18/10,,,7/29/10 8:32,2/5/12 9:51,,770-951-8512,,,,,,2550 Windy Hill Rd. Suite 317,,Marietta,GA,30067,United States,Kari Jacobs Resurgens Rehabilitation 2550 Windy Hill Rd. Suite 317 Marietta GA 30067,Kari Jacobs Resurgens Rehabilitation 2550 Windy Hill Rd. Suite 317 Marietta GA 30067,,No,Net 30,Corporate 3 Price,Yes,,,67.68,0,,0,0,No,No,,,7/29/10, ,,,
149,575,66,Serenity Physical Therapy,,Clinic,Serenity Physical Therapy,No,"Patella, William J",CUSTOMER-Closed Won,,,,7/29/10,,,7/29/10 14:59,7/11/11 14:13,,478-453-0041,,,,,,107 Sportsman Club Rd.,,Milledgeville,GA,31061,United States,Nicole Serenity Physical Therapy 106 Sportsman Club Rd Milledgeville GA 31061,Nicole Serenity Physical Therapy 107 Sportsman Club Rd. Milledgeville GA 31061,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,,,8/12/10,7/29/10 14:59,,,
150,588,77,MPG PT,,Clinic,MPG PT,No,"Patella, William J",CUSTOMER-Closed Won,,,,7/27/11,,,8/5/10 12:19,12/29/11 14:37,,678-354-0820,,678-354-7289,,,,165 Vann St,,Marietta,GA,30060,United States,Matt Butler MPG PT 165 Vann St Marietta GA 30060,Matt Butler MPG PT 165 Vann St Marietta GA 30060,,No,Net 30,Tru-Blu Price,Yes,,,3206.57,0,,2944.32,74,Yes,No,,,8/5/10, ,,,
151,590,79,Pam Bookout PT,,Clinic,Pam Bookout PT,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,8/6/10,,,8/6/10 9:38,7/11/11 14:14,,423-622-2402,,,,,,503 South Germantown Rd,,Chattanooga,TN,37411,United States,Pam Bookout PT 503 South Germantown Rd Chattanooga TN 37411,Pam Bookout PT 503 South Germantown Rd Chattanooga TN 37411,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,8/10/10,8/6/10 9:38,,,
152,593,82,Eastern Arkansas PT (EAPT),,Clinic,Eastern Arkansas PT (EAPT),No,"Hughes, Allen",CUSTOMER-Closed Won,,,,10/28/10,,,8/6/10 14:44,7/11/11 14:14,,870-633-3278,kim.dillard@yahoo.com,870-633-3285,,,,300 Eldridge Rd. Suite 1,,Forrest City,AR,72335,United States,Kim Dillard Eastern Arkansas PT (EAPT) 300 Eldridge Rd. Suite 1 Forrest City AR 72335,Kim Dillard Eastern Arkansas PT (EAPT) 300 Eldridge Rd. Suite 1 Forrest City AR 72335,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,9/10/10, ,,,
153,594,83,Bass PT & Rehab,,Clinic,Bass PT & Rehab,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/6/10,,,8/6/10 15:29,8/16/11 13:40,,478-272-7494,,,,,,P.O. Box 883,,Aragon,GA,30104,United States,Mary Bass Bass PT & Rehab 101 Fairview Pk. Dr. Dublin GA 31021,Mary Bass Bass PT & Rehab P.O. Box 883 Aragon GA 30104,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,8/6/10, ,,,
154,595,84,Toccoa Clinic,,Clinic,Toccoa Clinic,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/9/10,,,8/9/10 9:28,2/5/12 9:52,,706-282-1414,,706-886-3150,,,,,,,,,,,,,No,,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,,8/9/10 9:28,,,
155,596,85,Atlanta Falcons PT,,Clinic,Atlanta Falcons PT,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/18/10,,,8/9/10 14:46,4/10/12 18:04,,404-367-2111,dgordan@afpt.com,706-692-1199,,,,4400 Falcon Parkway,,Flowery Branch,GA,30542,United States,"Dan Gordon, Managing Director Atlanta Falcons PT 3223 Howell Mill Rd. Atlanta GA 30327","Dan Gordon, Managing Director Atlanta Falcons PT 4400 Falcon Parkway Flowery Branch GA 30542",,No,Net 30,Corporate 2 Price,Yes,,,1535.69,0,,146.76,113,Yes,No,,,8/10/10, ,,,
156,597,86,Tabor PT Bartlett,,Clinic,Tabor PT Bartlett,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,8/10/10,,,8/10/10 9:11,2/17/12 16:23,,901-377-2949,,,,,,2996 Tatebond Rd.,Suite 105,Memphis,TN,38133,United States,Dina Tabor PT Bartlett 2996 Tatebond Rd. Suite 105 Memphis TN 38133,Dina Tabor PT Bartlett 2996 Tatebond Rd. Suite 105 Memphis TN 38133,,No,Net 30,Corporate 2 Price,Yes,,,0,4199.9,,0,,No,No,,,2/17/12,8/10/10 9:11,,,
157,598,87,Kentucky Hand and Physical Therapy,,Clinic,Kentucky Hand and Physical Therapy,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,5/23/11,,,8/10/10 10:46,7/11/11 14:14,,859-264-8866,,859-264-1167,,,,151 N. Eagle Creek Drive Suite 400,,Lexington,KY,40509,United States,Jason Willoughby Kentucky Hand and Physical Therapy 151 N. Eagle Creek Drive Suite 400 Lexington KY 40509,Jason Willoughby Kentucky Hand and Physical Therapy 151 N. Eagle Creek Drive Suite 400 Lexington KY 40509,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,8/23/10, ,,,
158,600,89,Tennessee Valley Bone and Joint,,Clinic,Tennessee Valley Bone and Joint,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,8/11/10,,,8/10/10 12:59,2/5/12 9:54,,423-476-5554,,423-614-6116,,,,2350 North Ocoee St.,,Cleveland,TN,37311,United States,Tennessee Valley Bone and Joint 2350 North Ocoee St. Cleveland TN 37311,Tennessee Valley Bone and Joint 2350 North Ocoee St. Cleveland TN 37311,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,442.79,0,,0,0,No,No,,,9/28/10,8/10/10 12:59,,,
159,606,94,Lexington Clinic,,Clinic,Lexington Clinic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,3/25/11,,,8/12/10 10:51,2/5/12 9:54,,859-258-4843,,,,,,1221 South Broadway,,Lexington,KY,40504,United States,Lexington Clinic Veterans Park Office 630 South Point Drive Lexington KY 40515,Lexington Clinic 1221 South Broadway Lexington KY 40504,,No,Net 30,Corporate 2 Price,Yes,,,1298.08,83.8,,0,0,No,No,,,8/12/10, ,,,
160,607,95,Physiotherapy Norcross,,Clinic,Physiotherapy Norcross,No,"Patella, William J",CUSTOMER-Closed Won,,,,2/21/11,,,8/12/10 11:10,12/7/11 14:45,,770-840-8045,,,,,,6460 Spalding Dr. Suite B,,Norcross,GA,30092,United States,CINDY HATCHER Physiotherapy Norcross 6460 Spalding Dr. Suite B Norcross GA 30092,CINDY HATCHER Physiotherapy Norcross 6460 Spalding Dr. Suite B Norcross GA 30092,,No,Net 30,Corporate 3 Price,Yes,,,-77.58,0,,0,,No,No,,,8/12/10, ,,,
161,608,96,Bradley PMNR,,Clinic,Bradley PMNR,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,8/12/10 13:49,2/5/12 9:55,,423-473-8001,,,,,,1065 Pierless Crossing Dr.,,Cleveland,TN,37312,United States,Dr. Brown Bradley PMNR 1065 Pierless Crossing Dr. Cleveland TN 37312,Dr. Brown Bradley PMNR 1065 Pierless Crossing Dr. Cleveland TN 37312,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,8/12/10, ,,,
162,613,99,Morehouse College,,Clinic,Morehouse College,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/16/10,,,8/16/10 9:59,10/10/11 10:19,,404-222-2599,,404-215-2752,,,,830 Westview Drive S.W.,Gloster 210,Atlanta,GA,30314-3773,United States,,ATTN: Accounts Payable Dept Morehouse College 830 Westview Drive S.W. Gloster 210 Atlanta GA 30314-3773,,No,Net 30,Corporate 2 Price,No,,,0,0,,0,,No,No,,,10/6/10,8/16/10 9:59,,,
163,614,100,Primacare,,Clinic,Primacare,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/16/10,,,8/16/10 10:39,12/7/11 14:48,,770-962-4043,,770-962-4045,,,,2576 Lawrenceville Suwanee Rd.,Suite 101,Suwanee,GA,30024,United States,Mr. Shahani Primacare 2576 Lawrenceville Suwanee Rd. Suite 101 Suwanee GA 30024,Mr. Shahani Primacare 2576 Lawrenceville Suwanee Rd. Suite 101 Suwanee GA 30024,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,8/23/10,8/16/10 10:39,,,
164,622,102,Ideal Rehabilitation,,Clinic,Ideal Rehabilitation,No,"Hughes, Allen",CUSTOMER-Closed Won,,,,1/31/11,,,8/17/10 10:09,1/11/12 13:35,,480-560-5807,,,,,,P.O. Box 1165,,Saint Helena,CA,94574-1172,United States,Ideal Rehabilitation/Norterra 2005 W. Happy Valley Rd. Suite 170 Phoenix AZ 85085,Alicia Marshall Ideal Rehabilitation P.O. Box 1165 Saint Helena CA 94574-1172,,No,Net 30,Corporate 2 Price,No,,,27119.28,8753.94,,25769.82,50,Yes,No,,,2/28/11,8/17/10 10:09,,,
165,626,105,Advance Rehabilitations,,Clinic,Advance Rehabilitations,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/18/10,,,8/18/10 9:37,8/15/11 14:21,,912-638-1444,,,,,,PO Box 1510,,Kingsland,GA,31548,United States,Carmen Advance Reabilitations 124 Island Professionla Park Saint Simons Island GA 31522,Advance Rehabilitations PO Box 1510 Kingsland GA 31548,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,,,10/8/10, ,,,
166,630,109,"Ergonomic & Therapy Associates, Inc.",,Clinic,"Ergonomic & Therapy Associates, Inc.",No,"Hughes, Bo",CUSTOMER-Closed Won,,,,11/24/10,,,8/19/10 12:02,2/5/12 9:58,,423-894-0014,,423-479-8300,,,,P.O. Box 4047,,Cleveland,TN,37320,United States,"Ergonomic & Therapy Associates, Inc. 2895 Red Hill Valley rd. Cleveland TN 37323","Dean Coulter, PT Ergonomic & Therapy Associates, Inc. P.O. Box 4047 Cleveland TN 37320",,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,8/19/10, ,,,
167,638,114,Sports Medicine South,,Clinic,Sports Medicine South,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/11/10,,,8/24/10 14:28,2/5/12 9:59,,770-237-3475,,770-237-3756,,,,1900 Riverside Parkway,,Lawrenceville,GA,30043,United States,Harris Patel Sports Medicine South 1900 Riverside Parkway Lawrenceville GA 30043,Harris Patel Sports Medicine South 1900 Riverside Parkway Lawrenceville GA 30043,,No,Net 30,Corporate 2 Price,Yes,,,150.75,0,,0,0,No,No,,,8/26/10, ,,,
168,639,115,Pinnacle Rehab,Yes,Clinic,Pinnacle Rehab,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/25/10,,,8/25/10 10:15,12/7/11 14:46,,,,,,,,1505 Stonebridge Parkway Ste 200,,Woodstock,GA,30189,United States,Cindy Maeger - Attn Physical Therapy Pinnacle Rehab 1505 Stonebridge Parkway Ste 200 Woodstock GA 30189,Cindy Maeger - Attn Physical Therapy Pinnacle Rehab 1505 Stonebridge Parkway Ste 200 Woodstock GA 30189,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,,,6/2/11,8/25/10 10:15,,,
169,646,122,Bill King PT,,Clinic,Bill King PT,No,"King, William E",CUSTOMER-Closed Won,,,,1/21/11,,,8/25/10 16:29,2/5/12 10:00,,,,,,,,,,,,,United States,Bill King PT,Bill King PT,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,,8/25/10 16:29,,,
170,651,126,Spencer County Physical Therapy,,Clinic,Spencer County Physical Therapy,No,"Grimsley, Scott",CUSTOMER-Closed Won,No County - Kim,,,,,,8/26/10 12:51,7/11/11 14:13,,502-477-0300,,502-477-0303,,,,4813 Taylorsville Rd,,Taylorsville,KY,40071,United States,Becky House Spencer County Physical Therapy 4813 Taylorsville Rd Taylorsville KY 40071,Becky House Spencer County Physical Therapy 4813 Taylorsville Rd Taylorsville KY 40071,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,,,9/8/10, ,,,
171,655,128,REHAB RESOURCE,,Clinic,REHAB RESOURCE,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,8/4/10,,,8/27/10 11:51,7/11/11 16:06,,270-763-0703,,270-763-0709,,,,1239 WOODLAND DR,STE 103,Elizabethtown,KY,42701,United States,INTIAZ QURESHI REHAB RESOURCE 1239 WOODLAND DR STE 103 Elizabethtown KY 42701,INTIAZ QURESHI REHAB RESOURCE 1239 WOODLAND DR STE 103 Elizabethtown KY 42701,,No,Net 30,Corporate 2 Price,Yes,,,1095.73,0,,715.5,67,Yes,No,,,8/27/10, ,,,
172,658,129,REHAB SOUTH PT,,Clinic,REHAB SOUTH PT,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,11/11/10,,,8/27/10 14:42,2/13/12 19:47,,423-877-4599,,423-877-5611,,,,P.O. Box 4147,,Chattanooga,TN,37405,United States,REHAB SOUTH PT 2158 N. Park Lane Suite 102 Hixson TN 37343,REHAB SOUTH PT P.O. Box 4147 Chattanooga TN 37405,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,363.17,-40.76,,327.83,118,Yes,No,,,8/27/10, 
173,659,130,Sovereign Rehab,,Clinic,Sovereign Rehab,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,8/30/10 6:28,2/13/12 19:47,,678-205-5420,,,,,,595 Hurricane Shoals Rd. NW,Suite 100,Lawrenceville,GA,30046,United States,Dana Frasier Sovereign Rehab 595 Hurricane Shoals Rd. NW  Suite 100 Lawrenceville GA 30046,Dana Frasier Sovereign Rehab 595 Hurricane Shoals Rd. NW  Suite 100 Lawrenceville GA 30046,,No,Net 30,Tru-Blu Price,Yes,,,205.72,0,,25.52,21,Yes,No,,,8/30/10, 
174,664,132,Resolution P. T.,,Clinic,Resolution P. T.,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,8/31/10 9:12,7/11/11 14:14,,770-393-0111,,,,,,4505 Ashford Dunwoody Rd,Suite 13,Atlanta,GA,30346,United States,Jeanna Resolution P. T. 4505 Ashford Dunwoody Rd Suite 13 Atlanta GA 30346,Jeanna Resolution P. T. 4505 Ashford Dunwoody Rd Suite 13 Atlanta GA 30346,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,8/31/10, 
175,665,133,Helmwood Health Care,,Clinic,Helmwood Health Care,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,8/31/10 10:42,2/2/12 16:16,,270-769-0058,,270-737-1659,,,,106 Diecks Drive,,Elizabethtown,KY,42701,United States,Physical Therapy Department Helmwood Health Care 106 Diecks Drive Elizabethtown KY 42701,Physical Therapy Department Helmwood Health Care 106 Diecks Drive Elizabethtown KY 42701,,No,Net 30,Tru-Blu Price,No,,D-15481,0,0,,0,,No,No,,,8/31/10, 
176,667,134,Ocoee P. T.,,Clinic,Ocoee P. T.,No,"Hughes, Bo",CUSTOMER-Closed Won,,,PTPN of TN/GA,,,,8/31/10 11:11,7/11/11 14:13,,423-559-1537,,,,,,3112 North Ocoee Street,,Cleveland,TN,37312,United States,Martha Miller Ocoee P. T. 3112 North Ocoee Street Cleveland TN 37312,Martha Miller Ocoee P. T. 3112 North Ocoee Street Cleveland TN 37312,,No,Net 30,Corporate 2 Price,Yes,TN_HAMILTON CO,,64.72,0,,0,0,No,No,,,8/31/10, 
177,669,136,Sovereign Rehab,,Clinic,Sovereign Rehab,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/31/10,,,8/31/10 16:01,2/15/12 14:16,,770-781-8851,kitty.chin@sovereignrehab.com,770-781-8227,,,,5610 Bethelview Road,,Cumming,GA,30040,United States,Sovereign Rehab 5610 Bethelview Road Cumming GA 30040,Sovereign Rehab 5610 Bethelview Road Cumming GA 30040,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,9/3/10,8/31/10 16:01
178,672,139,Resurgens Orthopedics Rehabilitation,,Clinic,Resurgens Orthopedics Rehabilitation,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,9/1/10 16:20,2/13/12 19:50,,678-594-4250,,770-423-2166,,,,61 Whitcher St,Suite 1150,Marietta,GA,30060,United States,Resurgens Orthopedics Rehabilitation 61 Whitcher St Suite 1150 Marietta GA 30060,Resurgens Orthopedics Rehabilitation 61 Whitcher St Suite 1150 Marietta GA 30060,,No,Net 30,Corporate 3 Price,Yes,,,0,0,,0,,No,No,,,9/2/10, 
179,674,140,Center for Sports Medicine,,Clinic,Center for Sports Medicine,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,9/2/10,,,9/2/10 14:33,2/13/12 19:50,,423-624-2696,,,,,,2415 McCallie Ave.,,Chattanooga,TN,37404,United States,Connie Petty Center for Sports Medicine 2415 McCallie Ave. Chattanooga TN 37404,Connie Petty Center for Sports Medicine 2415 McCallie Ave. Chattanooga TN 37404,,No,Net 30,Corporate 2 Price,Yes,,,41.5,0,,0,0,No,No,,,11/18/11,9/2/10 14:33
180,679,144,North Georgia Physical Therapy,,Clinic,North Georgia Physical Therapy,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,9/7/10,,,9/7/10 15:43,2/13/12 19:52,,706-632-8535,,,,,,5425 Appalachian Hwy. Suite 2,,Blue Ridge,GA,30513,United States,Lauren Darnell North Georgia Physical Therapy 5425 Appalachian Hwy. Suite 2 Blue Ridge GA 30513,Lauren Darnell North Georgia Physical Therapy 5425 Appalachian Hwy. Suite 2 Blue Ridge GA 30513,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,9/15/10,9/7/10 15:43
181,683,147,Cantrell Center PT,,Clinic,Cantrell Center PT,No,"Patella, William J",CUSTOMER-Closed Won,,,PTPN of TN/GA,9/8/10,,,9/8/10 9:03,8/16/11 13:50,,478-333-6777,,478-953-0353,,,,405 Osigian Blvd.,,Warner Robins,GA,31088,United States,Heather Clark/Brandon Graham Cantrell Center PT 405 Osigian Blvd. Warner Robins GA 31088,Heather Clark/Brandon Graham Cantrell Center PT 405 Osigian Blvd. Warner Robins GA 31088,,No,Net 30,Corporate 2 Price,Yes,,,216.6,0,,216.6,13,Yes,No,,,10/5/10,9/8/10 9:03
182,689,149,PT Place,,Clinic,PT Place,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,9/9/10 14:47,10/28/11 15:52,,270-259-0551,,270-230-0009,,,,358 Southgate Mall,,Leitchfield,KY,42754,United States,PT Place 358 Southgate Mall  Leitchfield KY 42754,PT Place 358 Southgate Mall  Leitchfield KY 42754,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,,,9/9/10, 
183,691,151,Encore Rehab,,Clinic,Encore Rehab,No,"Patella, William J",CUSTOMER-Closed Won,,,,9/10/10,,,9/10/10 8:55,2/1/12 8:18,,256-350-1764,jgriffith@encorerehab.com,,,,,113 2nd Ave SE,,Decatur,AL,35601,United States,Jennifer Griffith Encore Rehab 113 2nd Ave SE Decatur AL 35601,Jennifer Griffith Encore Rehab 113 2nd Ave SE Decatur AL 35601,,No,Net 30,Corporate 3 Price,Yes,,,0,0,,0,,No,No,,,,9/10/10 8:55
184,694,154,Physiotherapy Associates,,Clinic,Physiotherapy Associates,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,9/13/10 8:55,12/7/11 14:42,,770-551-9633,,,,,,5513 Chamblee-Dunwoody Rd.,Suite 430,Atlanta,GA,30338,United States,Physiotherapy Associates 5513 Chamblee-Dunwoody Rd.  Suite 430 Atlanta GA 30338,Physiotherapy Associates 5513 Chamblee-Dunwoody Rd.  Suite 430 Atlanta GA 30338,,No,Net 30,Corporate 3 Price,Yes,,,0,0,,0,,No,No,,,9/13/10, 
185,697,157,Dr. Richard DeCarlo,,Clinic,Dr. Richard DeCarlo,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,9/13/10 13:28,8/16/11 14:31,,404-794-4357,,,,,,4686 Atlanta Rd. SE,,Smyrna,GA,30080,United States,Dr. Richard DeCarlo 4686 Atlanta Rd. SE Smyrna GA 30080,Dr. Richard DeCarlo 4686 Atlanta Rd. SE Smyrna GA 30080,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,9/14/10, 
186,698,158,Sovereign Rehab,,Clinic,Sovereign Rehab,No,"Patella, William J",CUSTOMER-Closed Won,,,,9/13/10,,,9/13/10 14:10,2/13/12 19:53,,404-389-0077,,,,,,495 Winn Way Suite 120,,Decatur,GA,30030,United States,Aaron Schauble Sovereign Rehab 495 Winn Way Suite 120 Decatur GA 30030,Aaron Schauble Sovereign Rehab 495 Winn Way Suite 120 Decatur GA 30030,,No,Net 30,Corporate 2 Price,Yes,,,514.55,0,,476.14,28,Yes,No,,,8/3/11,9/13/10 14:10
187,700,160,Fusion Fitness,,Clinic,Fusion Fitness,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,4/7/11,,,9/13/10 16:47,3/8/12 14:43,,423-267-9146,,423-267-9081,,,,25 Cherokee Blvd Suite E,,Chattanooga,TN,37405-3838,United States,Fusion Fitness 25 Cherokee Blvd Suite E Chattanooga TN 37405-3838,Fusion Fitness 25 Cherokee Blvd Suite E Chattanooga TN 37405-3838,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,126.85,,0,,No,No,,,9/16/10, 
188,701,161,Physical Therapy Associates,,Clinic,Physical Therapy Associates,No,"Hughes, Bo",CUSTOMER-Closed Won,,,PTPN of TN/GA,,,,9/14/10 9:05,2/13/12 19:53,,423-870-6004,,,,,,2158 Northgate Pk. Lane,Suite 102,Chattanooga,TN,37415,United States,Jeff Sodemann Physical Therapy Associates 2158 Northgate Pk. Lane Suite 102 Chattanooga TN 37415,Jeff Sodemann Physical Therapy Associates 2158 Northgate Pk. Lane Suite 102 Chattanooga TN 37415,,No,Net 30,Corporate 2 Price,Yes,TN_HAMILTON CO,,-29.15,0,,0,,No,Yes,,,9/14/10, 
189,702,162,Physio Edge Physical Therapy,,Clinic,Physio Edge Physical Therapy,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,9/14/10 11:20,8/23/11 14:00,,770-792-8081,,,,,,"670 North Avenue, Suite 201",,Marietta,GA,30060,United States,"Physio Edge Physical Therapy 670 North Avenue, Suite 201 Marietta GA 30060","Physio Edge Physical Therapy 670 North Avenue, Suite 201 Marietta GA 30060",,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,9/14/10, 
190,704,164,Resurgens Otho,,Clinic,Resurgens Otho,No,"Patella, William J",CUSTOMER-Closed Won,,,,9/15/10,,,9/15/10 15:42,2/13/12 19:54,,678-422-4300,,,,,,6635 Lake Dr.,,Morrow,GA,30260,United States,Robin Miller Resurgens Otho 6635 Lake Dr. Morrow GA 30260,Robin Miller Resurgens Otho 6635 Lake Dr. Morrow GA 30260,,No,Net 30,Corporate 3 Price,Yes,,,0,0,,0,,No,No,,,, 
191,706,166,Professional Rehab Associates,,Clinic,Professional Rehab Associates,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,9/15/10 16:04,3/21/12 13:57,,859-625-0001 ext 28,,,,,,212 Wayne Dr.,,Richmond,KY,40475,United States,Lancaster Physical Therapy 185 Farra Dr. Lancaster KY 40444,Sarah Flowers Professional Rehab Associates 212 Wayne Dr. Richmond KY 40475,,No,Net 30,Tru-Blu Price,Yes,,,49.33,0,,0,0,No,No,,,9/15/10, 
192,708,168,Resurgens Orthopedics,,Clinic,Resurgens Orthopedics,No,"Patella, William J",CUSTOMER-Closed Won,,,,9/15/10,,,9/15/10 16:44,2/13/12 19:55,,678-309-8159,,,,,,"2041 Mesa Valley Way, Suite 100",,Austell,GA,30106,United States,"Tara Bunch, MPT Resurgens Orthopedics 2041 Mesa Valley Way, Suite 100 Austell GA 30106","Tara Bunch, MPT Resurgens Orthopedics 2041 Mesa Valley Way, Suite 100 Austell GA 30106",,No,Net 30,Corporate 3 Price,Yes,,,0,0,,0,,No,No,,,11/4/10,9/15/10 16:44
193,709,169,Cherokee Physiotherapy,,Clinic,Cherokee Physiotherapy,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,9/16/10 11:46,8/16/11 13:58,,770-924-3498,,,,,,7914 Hwy. 92 Suite 100,,Woodstock,GA,30189,United States,Maria Gauudio Cherokee Physiotherapy 7914 Hwy. 92 Suite 100 Woodstock GA 30189,Maria Gauudio Cherokee Physiotherapy 7914 Hwy. 92 Suite 100 Woodstock GA 30189,,No,Net 30,Tru-Blu Price,Yes,,,40.81,0,,40.81,33,Yes,No,,,9/16/10, 
194,712,171,Sunrise Manor,,Clinic,Sunrise Manor,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,7/29/11,,,9/16/10 15:46,7/11/11 14:14,,270-358-3103,,,,,,80 Phillips Lane,,Hodgenville,KY,42748,United States,Mechel Stultz Sunrise Manor 80 Phillips Lane Hodgenville KY 42748,Mechel Stultz Sunrise Manor 80 Phillips Lane Hodgenville KY 42748,,No,Net 30,Tru-Blu Price,Yes,,,259.7,0,,259.7,12,Yes,No,,,9/16/10, 
195,715,173,Champion PT,,Clinic,Champion PT,No,"Patella, William J",CUSTOMER-Closed Won,,,,12/29/10,,,9/17/10 13:28,8/16/11 13:52,,,,,,,,540 Lake Center Parkway,Suite 107,Cumming,GA,30040,United States,Matt Folz Champion PT 540 Lake Center Parkway Suite 107 Cumming GA 30040,Matt Folz Champion PT 540 Lake Center Parkway Suite 107 Cumming GA 30040,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,9/17/10, 
196,716,174,Trenton Physical Therapy,,Clinic,Trenton Physical Therapy,No,"Hughes, Bo",CUSTOMER-Closed Won,,,PTPN of TN/GA,,,,9/17/10 14:34,7/11/11 14:13,,706-657-2700,,,,,,12415 N Main St,,Trenton,GA,30752,United States,Trenton Physical Therapy 12415 N Main St Trenton GA 30752,Trenton Physical Therapy 12415 N Main St Trenton GA 30752,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,,,9/23/10, 
197,721,179,Resurgens Decatur,,Clinic,Resurgens Decatur,No,"Patella, William J",CUSTOMER-Closed Won,,,,9/22/10,,,9/22/10 9:39,12/12/11 14:01,,770-491-5080,,,,,,2680 Lawrenceville Hwy.,,Decatur,GA,30033,United States,Matt Powell Resurgens Decatur 2680 Lawrenceville Hwy. Decatur GA 30033,Matt Powell Resurgens Decatur 2680 Lawrenceville Hwy. Decatur GA 30033,,No,Net 30,Corporate 3 Price,Yes,,,0,0,,0,,No,No,,,, 
